feature,avg_importance
x ,0.7902697076188502
ll ,0.7584689985161653
nc,0.7527112960657664
 (i,0.7278604106848058
 if(,0.6833347465279488
if(,0.6823868900079724
m.,0.6336296258524339
[i ,0.6316998329136252
));,0.6167914189484334
)); ,0.6070445330551585
ct,0.5766670077315703
ste,0.533080365801003
 i++) ,0.5277125219960824
ip,0.49942041880340715
(nums[,0.4979825095247028
1),0.4929486148131207
 (n,0.4790493729499475
(); ,0.4736078619579277
ent ,0.4735861089986145
 0),0.4707859058493826
 = ,0.4698098867867745
f(,0.4682405669693084
();,0.45764241484379964
(b,0.45558414966823957
no,0.45215557628617603
 2),0.4514421661216306
// ,0.4473255087043796
 // ,0.44470000912769925
ent,0.44377904519232636
 0) ,0.4389559242856543
ui,0.4267221865477585
pa,0.42050247388636003
ppe,0.41752524346041814
t.,0.40944671363467766
(i ,0.4062623274241781
me,0.3969668172607429
k ,0.3906529624366143
: ,0.38490713765667933
);,0.3846819061031479
if,0.38417327447236854
i+,0.3739036504728083
); ,0.3678454705378413
 to,0.3627484477067256
o ,0.3603345163187332
d),0.35949576539047573
ll,0.35737859916111125
ta,0.35690811649743026
i++) ,0.3567343660160528
mi,0.355520121126067
r(,0.35294278359879183
 /,0.34151565382182403
pp,0.3395117879438371
1],0.3328712112468073
 ca,0.3310570710750522
nd ,0.32967928834133386
 2 ,0.32869114857897663
""")",0.327151563388916
13,0.32570935847998966
gth() ,0.3257085613528215
th() ,0.3220409535502506
h() ,0.31910390489625107
 if,0.31786145660603926
 fo,0.31273006868543096
pri,0.3126449634101699
 !,0.312106730494168
max,0.3069978842736516
1) ,0.3054737472725493
ax,0.30403255856141154
)) ,0.30253404105697235
 (,0.30159266141260854
 (num,0.2999512808799996
 (nu,0.29959984515282595
bs,0.2985190596030377
sma,0.295061550738953
"a,",0.29479387792452927
 la,0.29448440336732834
 i ,0.2943524047105106
tart,0.29028319844699785
"a, ",0.2902722031507392
start,0.2894247388656249
 te,0.28870698188196664
it,0.28861246695586174
star,0.28831412408947965
 i++),0.28823767757476304
be,0.28749690278718154
heck ,0.28733458909123544
check ,0.2864704203638896
eck ,0.28633807741846995
tl,0.2846701362920989
ast,0.28363416189940815
 c) ,0.2815809785391342
 check,0.2789331813964915
 che,0.2780754229828752
 =,0.2773293326737246
 chec,0.2768698943092912
ca,0.2761204466605419
ter,0.2736567817978189
 is ,0.2726837707975038
rac,0.27191272842266434
als,0.27180017571865206
ir,0.271691034122644
 i++,0.2680827841663151
2) ,0.2675340183113112
 no,0.2674298267251908
rt,0.2673309940914086
pr,0.26586653820064127
re ,0.2657023858427545
2),0.2655707149762797
.a,0.26249138459781074
 2,0.2623188543188652
rst,0.26117610622280374
er ,0.26081135378577464
)),0.25916677030165874
 {,0.25724378613073895
ld,0.25507100887058254
tar,0.25499044272069243
e(,0.2549711701719881
n),0.24819894472578152
new ,0.24537914047074333
um ,0.24523985694313705
st ,0.24520196318540857
il,0.2437370569958588
 { ,0.24262567389343792
ult ,0.24218639196647335
ew ,0.24203474563652122
rou,0.24197037466171734
ru,0.24149192383288975
ma,0.23952524887422047
 to ,0.23870257302982448
 (int ,0.23586631754043774
sult ,0.23541548278943758
(num,0.23511481363279857
for,0.23442998824830563
(nu,0.23411096623491723
++; ,0.23393311836159786
 new ,0.23339040132562147
esult ,0.23273482385925573
 n ,0.23239576929442554
", ",0.23200348501545331
 (in,0.23186176772010175
lt ,0.2318375134965408
rs ,0.2317144108072115
+; ,0.23152147477776364
(n,0.23126282232260184
 for,0.23060064626314697
 10,0.23033202408164427
 ne,0.23005857917572192
() ,0.22982149532463453
num ,0.22980849430429198
 i+,0.2282301001492978
!=,0.22764386280778773
min,0.22763429466751778
ul,0.22591620499501752
 nums,0.22459569102940247
l ,0.2234424022070956
 nums[,0.22299897606604085
to ,0.22155733525772067
al ,0.22114199379033314
 (int,0.22081152620724318
ex,0.22003097246658548
 numb,0.2196404832025472
ro,0.21900034146904634
 -,0.21716318957115374
bi,0.21614336157682068
1 ,0.21599438705214966
om,0.2158886191054194
 += ,0.21507917362940682
 == ,0.2144509479607246
is ,0.21439201424221432
lar,0.21378759796968638
 of ,0.2131009705924629
of ,0.21277358209596026
pl,0.21274207608166384
 ma,0.212707459605003
sa,0.2123211763488601
out,0.21206204172252613
(nums,0.21103769075447593
est,0.21006473509027013
< ,0.20786445397381648
 6,0.2078254902957022
s.,0.20751928699446656
 sta,0.20703578894966845
gh,0.20683383114740345
tring ,0.20520697822900752
tru,0.20445892635313084
s(,0.20371672693757736
/ ,0.2036687213149564
tw,0.20130585439533724
 l,0.20087109401709868
th ,0.2007289091655879
[i,0.20050220416278153
[i],0.1979397691642804
de,0.1975235895197736
 g,0.19729345195985676
 +=,0.1972546488986588
 sum ,0.19700060375243028
iz,0.19699641658049402
s ,0.1962357313462308
ere,0.19532769860189175
(i,0.19531791086422762
 &,0.19388865632240113
 c,0.193819475461397
lu,0.19329473895628205
las,0.19326582832461658
ith,0.19270757401985764
== ,0.19117201857471422
d(,0.19054759125223938
true,0.19041781516307132
ums.,0.19041747596683364
+;,0.18984551761460747
w ,0.1897790551119556
 str.l,0.18935398309023138
++;,0.1867944386947572
ms[i] ,0.18636363020905086
ength ,0.18605568549067553
gth ,0.1859897191161255
und,0.18556393599622747
 the ,0.18483543224814863
the ,0.18467458471278667
nums.,0.18345169546935472
dd,0.18320864276246104
s[i] ,0.18232471992409763
he ,0.1823189715306222
ngth ,0.18153546648110314
"b,",0.18124421098712365
 tru,0.18116063868103904
 tr,0.18065432817241076
ms.,0.18064370423511694
 < ,0.18033251066397354
0),0.17981088713692703
 } ,0.17941585492197232
ke,0.17922290046385952
"""; ",0.17877763331026922
ar,0.1787717555558575
1;,0.17871340160684135
bu,0.17808995794008808
ars,0.17787362831904557
rue,0.1773789350512194
+= ,0.17691780345993513
""";",0.17672361538551812
ch,0.17523691312688755
art,0.17415757834398865
ound,0.17361266109697054
wo,0.17338073707738663
 a ,0.17300054746061255
 len,0.17291819580939027
id,0.17185857847611946
 >= ,0.17182646209686864
bl,0.17152494952211184
 },0.17069029521943568
ngth; ,0.16951999748206648
io,0.16942610414874512
 <,0.16769811981196253
sta,0.16639695743503413
 fi,0.16612515833374666
emp,0.16593886847915384
<=,0.1658414623963662
gth; ,0.16482936101996382
nce,0.16459510300887709
sum ,0.16400449875583117
ion,0.16338449057190704
i],0.16267768389639803
>= ,0.16207971002675656
os,0.16206723442086063
++) ,0.16095056135043456
t; ,0.16038417422593784
c),0.15988548381243992
ha,0.15966597203285537
 of,0.1596479160087334
(c,0.15960013876594104
ot,0.15929864360036444
ap,0.158439077032887
nte,0.15820127573891582
ts,0.15747700347478183
 3,0.15739312437653435
 true,0.15686483700036213
 1; ,0.15669212415000294
di,0.15629475245627739
 a,0.15548603475688294
 ==,0.15477128476049917
+) ,0.15432036054217313
 m,0.1542817414898967
act,0.1539432467980291
"(""",0.15384676269567807
ig,0.15335996237718055
 (a ,0.15303984678450083
>=,0.15297360837470342
th; ,0.15234191825495436
c) ,0.15220703603486743
 2) ,0.15150153171354147
} ,0.1506609570664672
 %,0.15065960373300935
h; ,0.1505710812468497
if ,0.15024177864010685
end,0.14889212408331853
!= ,0.14879479041866717
cur,0.14875750279725203
2 ,0.14837839726684227
ge,0.14566109238533284
10,0.14552744621483113
= ,0.1448005582441968
els,0.14461964848208042
 n,0.14460663169221158
on ,0.14458070629451392
index,0.14457003918295913
 ch,0.14377233296330574
and,0.14368478996668635
with,0.14365651593921575
 le,0.1433174478140799
f ,0.1431639197779967
ss,0.14290290251850932
1; ,0.14263951487824839
ut,0.14253347618102502
dex,0.14247949676214017
to,0.14245886600847965
la,0.14229557048722338
le ,0.14209726885182736
on,0.1420443627766494
ndex,0.14191512868344872
else,0.14174063696606237
+=,0.14159974928241836
co,0.14132168249745475
ra,0.14131219518751414
ck ,0.14055462013005332
 b ,0.14020165773142296
 0;,0.13987417566224047
ue; ,0.13975671682952637
 <= ,0.1393963530357027
cu,0.1388943870741402
ve,0.1383235859142834
od,0.13823993189847997
tic,0.13819927272147797
c ,0.13810615022411937
//,0.1374838784412636
th,0.13742977668444034
 1;,0.1372389676094688
b) ,0.13697462464845087
ther,0.13638547487427827
ue;,0.13615839581286954
ing ,0.13581808574918774
 (a,0.13557799625138922
gt,0.13470635660623878
oun,0.13444989204936603
ng ,0.1340149877378369
ubl,0.13331123328254407
el,0.13210816492228844
 in,0.13130816764836548
da,0.13083621776449555
p ,0.1306362940407327
.len,0.13053120748667948
hi,0.1303380021466926
.lengt,0.12991432413916582
.le,0.12982524564866144
inde,0.12977101469313845
.leng,0.1290394745629847
 //,0.12840859087944145
ue,0.12828640880706194
che,0.12821012094397272
irs,0.12748713261894545
all,0.12644420045537874
0 ,0.12641981547758466
h;,0.1261875619791434
||,0.12596882149407918
 it,0.1256318832230056
ren,0.12520383126637644
eturn ,0.12490661868901778
th;,0.1240855526901446
1] ,0.12407141654004933
irst,0.12389378994627678
 0; ,0.1237991608203777
rent,0.12373857722954998
- ,0.12363860188740569
es,0.12358329847752361
& ,0.12353592701459526
rn ,0.12350831739897725
first,0.12331075938300295
we,0.12322511098654064
lse,0.1227042920972167
em,0.12264021415867171
fir,0.122397197202605
firs,0.1223176336340813
ed,0.12215476194076072
y ,0.12201225200903243
 resul,0.12195282639757121
i++),0.12136942708837875
 >=,0.12131522423218591
ys,0.12126967996491092
wit,0.12125569050083684
ft,0.12117957268632751
s[i,0.12107370191883723
 resu,0.12095898827473704
ain,0.12091468186268914
turn ,0.11991940301569001
 int[,0.11959552999272388
 int[],0.11940569555950334
tr.s,0.11856372747621936
 > ,0.11848797705686148
 && ,0.11823621651719353
; ,0.1181365647451607
her,0.11788407800633653
h ,0.1178634723074288
 d,0.11782773875673232
 - ,0.11762427733878916
d ,0.1174925397148108
ength;,0.11707014472087171
rg,0.11701007198159202
 ',0.11680195626201109
ub,0.11678546514743357
e ,0.11674433832369467
s[i],0.11643250607947339
ngth;,0.11635296909696474
urn ,0.11624429551785162
arg,0.11586573847068035
ac,0.11569070892726405
ad,0.11553923177952471
ti,0.11548608101359628
> ,0.11544299449276704
&& ,0.11538246276156851
ring ,0.11533592860183989
 b),0.11490498457280812
 t,0.11465968804845361
" """,0.11455814794079944
gth;,0.11447111650349077
ai,0.11444487979272508
 numbe,0.11372233787144222
nde,0.11351974359044507
eme,0.11313974391692755
 nums.,0.11302412231145711
ment,0.11299121905679906
++),0.11269240129747338
 nums),0.11268347364372881
 ar,0.11246345042107361
 e,0.11174348686283714
 &&,0.11158261942532105
 o,0.11156192416951882
r.s,0.11139191785107289
+),0.1113875398021912
str.s,0.11130214193653833
 else,0.11099110452705205
ement,0.11051899525973084
else ,0.1101616491156934
"b, ",0.11015679851279311
sy,0.110126425643906
ind,0.11006068855019029
s) ,0.11004579352220599
 res,0.11002775117876926
men,0.10981545229590317
 els,0.10980651779537848
at(i,0.10949092144628804
 w,0.109394595951431
tln,0.10938025131350217
 array,0.10928704114183936
of,0.10909355896001227
emen,0.10903172559244936
 !=,0.10897113671030814
th(,0.10895566203206727
tln(,0.10844646847840367
arat(i,0.10757684323852673
rintln,0.10734220570476401
new,0.10717741704307263
ne,0.10647665899513241
fo,0.10645541699678482
rintl,0.10645500297048717
or,0.10642641507041262
intln,0.1062162699616171
intl,0.10616182486506354
 val,0.1060439251371311
 |,0.1059568927670234
 != ,0.1056097555392134
intln(,0.10539793673603311
i ,0.10534140611067155
 j,0.10532580662892514
ntln(,0.10505585813351534
 nu,0.10495047433479515
 ||,0.10482622384348705
ult,0.10482249067044092
 (str,0.10480315459388082
0) ,0.10468804776508964
ec,0.10460868298952686
 str.,0.10458827512048308
ntl,0.10453457978338956
ln(,0.1045084078215534
ew,0.10416044036425699
ntln,0.1041396187764149
printl,0.10377514965766602
rat(i,0.10360835737061827
&&,0.1035430360428518
 arra,0.10349165787134604
 stri,0.10346474917810268
 f,0.10301542856935836
 strin,0.10297846211631118
 || ,0.10275851345230946
t;,0.10273317112130324
lse ,0.10267033132334058
um;,0.1025625247628579
r.subs,0.1024158947584486
 el,0.10239483467472929
array,0.1023277992665506
rra,0.10217040843795136
{ ,0.10215522048706982
ms) ,0.10215508469857562
 s,0.10200856941498115
| ,0.10197747593919396
|| ,0.10177980583085143
tr.l,0.10176181773792328
tem,0.10168891660650423
 the,0.10151571049277809
sum,0.10145330792631112
i++,0.1012847584877285
str.l,0.1012064767526932
m; ,0.10057316040052584
(a,0.10021604729285366
m;,0.1001579033256233
b),0.1001551130345433
ed ,0.09988957932916062
se ,0.0997826491569872
int[] ,0.09969976608451564
rray,0.09871789522971836
lt,0.09838881269524832
cl,0.09836532401115819
umb,0.09834912913223993
ray,0.09827768620575095
 (s,0.09815828907763388
arra,0.09812100831894352
 >,0.09811875787977575
t[] ,0.0979158024025917
tr.sub,0.09763425830549788
0; ,0.09733908482542074
t(,0.09730463401980621
al,0.0972290191839146
in,0.09715533778375912
nt[] ,0.09683935916243167
sult,0.09670416705750222
nums) ,0.09642369845637874
se;,0.0959043546187931
eng,0.09577490501179838
ums) ,0.09567613579862846
resu,0.0956666665381596
esu,0.09564376182321366
ms[i,0.09552179347910353
<= ,0.09537714544086162
um; ,0.09528004420313727
.l,0.09517267086117032
 else ,0.09502197031518211
mb,0.09476930733658942
str.su,0.09474383795260473
 5,0.09473891480818496
b ,0.09462066267920755
==,0.09450265081665454
numb,0.09445424943753046
nums[i,0.09427192810397357
val,0.09403401380913257
 new,0.09358689635734989
 + ,0.0934399034158866
arr,0.0933621929356223
 (nums,0.09324631213733381
int[,0.093034673952089
r.su,0.09289021999436559
esul,0.09282617348439838
alse; ,0.09280231600853345
ns,0.09279762053787703
ength,0.09276563086365781
cou,0.0926918195605364
day,0.09262313804448763
a ,0.09244520293113262
 p,0.09230244576540547
resul,0.09227783140830817
result,0.09224135866625506
su,0.0921933188413766
ce,0.09190593566727681
(s,0.09174248905883851
 i,0.09160232742275819
ring,0.09150866776545516
tr.su,0.09145857978913198
nd,0.09141816106768624
 out,0.09138196424894487
rr,0.09133820999756125
wi,0.09121259200558726
res,0.0912017809488902
si,0.09111536642756772
e;,0.09066218993376603
[] ,0.09063585365837494
count,0.09062520471154728
esult,0.09061059172760243
ate,0.09029964573998672
];,0.09027874126929253
 ou,0.0900946562831814
]; ,0.08998508239347625
ls,0.08992240804303175
ums[i],0.089715618454493
ngth,0.08963265451087712
 (st,0.08941191055741568
lengt,0.08933979971662556
sul,0.08932018720938512
cha,0.0891647514498586
 retur,0.08899629014421198
+ ,0.08896852222498891
len,0.08816490646397074
substr,0.0880847777527284
ums[i,0.08773570171522047
un,0.08768036969768735
r.sub,0.0875148100555202
(str.,0.08741369610966275
 if ,0.08725821829279931
(str,0.08697269257432089
 coun,0.08686834742540404
nums,0.08659250696649587
ms[i],0.08656778075168366
gth,0.08652989680146066
zz,0.08652590188337486
leng,0.08631370277158998
length,0.08627537440834404
coun,0.08627491657608552
heck,0.08592552924906047
h(,0.08576538477120113
nt[,0.08570426698450224
eck,0.08563996858329861
r ,0.08559947830060471
hec,0.08559749144353183
or ,0.08536629803865886
0;,0.08533996727449357
 ret,0.08523814685148026
 cou,0.08522322446095437
 en,0.08516722750521145
" a, ",0.08494842001996847
 <=,0.08488209759539003
" a,",0.08485080186273442
engt,0.08481056545513986
bstrin,0.08405510162891726
se; ,0.08364252583715118
(a ,0.08359184568820617
rue; ,0.08357700252790008
 +,0.08352317199949227
 co,0.08345513177908176
r.l,0.08342112339232224
ing(,0.0834194272973153
ea,0.08340792877040984
 retu,0.08340136590251054
 count,0.08321936420996148
true; ,0.08312373830283187
chec,0.08308274906141065
 c),0.08281882084480113
ngt,0.08279758607520053
rue;,0.08278682148814065
check,0.08276003260046856
 true;,0.08274771915354567
ubstr,0.08233333468879839
ms,0.08214338824890466
ubstri,0.08213226192548428
alse,0.08213010920421465
g(,0.0819928891615309
ng(,0.08181757817796981
g ,0.08172858340244202
lse; ,0.08162429388521093
r.len,0.08144510227175861
ic,0.08123802934701428
ount,0.08094511201292116
tr,0.08073676582263843
 arr,0.08062823481258787
n) ,0.08060968284541643
e; ,0.08058318335738679
wer,0.08049217550693691
] ,0.08004067482639368
 fa,0.07992081707443617
li,0.07986244692140658
curren,0.07970534494614544
bstri,0.0796060787464135
is,0.07944951060521435
tring(,0.07928644118037892
alse;,0.07915549312793804
urren,0.07907504933525968
[i] ,0.07888972176743858
er,0.07871610644902965
true;,0.0785667412242766
curre,0.07850211664958961
 th,0.07825615636861671
 fal,0.07817949870647758
en,0.07800297610252235
se,0.07797687965048355
 bo,0.07784275539583937
false;,0.07770656842302251
ums,0.07767172345741039
ic ,0.07752397491657902
r.le,0.07703683615919016
t[,0.0769297177274463
urrent,0.07692641608687012
unt,0.07685095867591728
 0,0.076740202644078
rs,0.07648944873448377
urr,0.07648380686729211
ou,0.07627344670669
fal,0.07612331292536817
rren,0.07608143196613958
lse;,0.07607758417863356
curr,0.07605613736346845
 fals,0.07604567750191918
(st,0.07602807075628379
ay,0.07602616077567236
 b,0.07599389711678965
bstr,0.07599003392903747
n ,0.07595802333900345
 sum,0.07583665953591218
rea,0.07578814024906386
fals,0.07567644554502345
urre,0.07560543110595441
wor,0.07539923331828732
bre,0.0753229299614818
turn,0.07526449155547732
str.le,0.07508004624425252
tr.le,0.07495480441948049
mo,0.07488754308414208
i] ,0.07475254783846752
eturn,0.07471583472613123
 false,0.0746285919452116
te,0.07461135296582563
urn,0.07460196524888256
retur,0.07438691257962263
etur,0.07425775317757378
hara,0.07403882903601623
t ,0.07377031097285824
nt[],0.07356311192428755
ni,0.07355190710270111
(),0.07347786437015633
false,0.07321666762937803
r.leng,0.07319946962982263
 num,0.0731970869000318
rrent,0.07318687557410886
an ,0.07315186580064076
 1,0.07294248679658791
brea,0.07276836944613171
ring(,0.07257561630576512
 su,0.0724800812745088
 str) ,0.07243223155054151
int[],0.07215473546434098
ay ,0.07207039584608954
rin,0.07203565318356339
umbe,0.0717565918516495
gth(,0.071659924301447
tr.len,0.07155181161875968
gth(),0.07153715446811484
m ,0.0713897903304203
rre,0.07135157702744804
ngth(,0.07129998662453065
lo,0.07104703526244674
ur,0.07087899622727567
th(),0.07082025525380031
chara,0.07080892456493257
 for ,0.07079290650224121
rd,0.07077176484880268
numbe,0.07062078268577103
ng,0.07058622338807163
mp,0.07057878935135434
 r,0.07046046669390343
tur,0.07041466769729937
fa,0.07041308191172818
tr),0.0702518542889757
mber,0.07010047900347657
.chara,0.07008055758650807
retu,0.06978493610876174
return,0.06977710340341021
t[],0.06967548921595922
 st,0.06947185065768499
br,0.06944293396103013
str),0.06941704981836522
ngth(),0.069335591950409
str) ,0.06930939667560193
rn,0.06930195039716833
fi,0.06918646373942114
mbe,0.06912518688807465
ength(,0.0691094330904071
tr) ,0.06873763437132302
.char,0.06863670280971496
t(i,0.06853006188022895
 int ,0.06851976925484674
the,0.06841808144947217
etu,0.06831631293275284
umber,0.06804082855467752
 str),0.06803186292943561
ber,0.06790980336138153
ate ,0.06772300164315205
.cha,0.06767737678584831
 int,0.06766518664453702
ln,0.06759634665688283
ray ,0.06757338589905182
for ,0.06752372663886137
tr.,0.06748859730457941
.ch,0.0674314563359981
ret,0.06708037180647845
rat,0.0670536381856973
array ,0.06686490033921931
s[,0.06678313786839282
r.,0.0666064275647822
 str,0.06637871064397463
tu,0.06620012869746661
rray ,0.06598617690284413
number,0.06597834087447266
har,0.06596934184313782
r),0.06589162006187121
va,0.0658802067019352
te ,0.06576686070001125
um,0.06571495915737283
h(),0.0654865514590609
as,0.0653459213331202
nums[,0.06524731601647502
ead,0.0652238571511652
ms.len,0.06501620828974067
ri,0.0649557936631148
bli,0.06495486032420583
 va,0.06456622413289174
ord,0.06454318867424046
read,0.0644989199122883
bo,0.06435987096801649
 v,0.06427015590262608
int ,0.06425920168313226
bread,0.0642494155138935
ums[,0.06412710531272457
pu,0.06381036007350209
ing,0.06376951529399567
nt,0.06372024439003776
an,0.06304938272626381
.s,0.06299576476427368
int,0.06291871305598119
 publ,0.06281663978484461
publi,0.06278197128995999
) ,0.06273585027734964
ck,0.06271153007465952
et,0.06270600850854438
at,0.06260308055785488
public,0.06246989372026693
ms[,0.062338714425158634
str.,0.06230624131064572
ums.le,0.06209592766533699
blic,0.061818462405866345
s.leng,0.06160747403887594
char,0.06153498802448004
ara,0.0614949664576319
ublic,0.06149490264410376
(int ,0.061401327328484745
st,0.06137362647837361
nums.l,0.06130480333998168
num,0.06101889239302994
ubli,0.06094375972839833
r.ch,0.06090483030540439
ums.l,0.0608215429907284
 pu,0.060768963976644136
 re,0.06063048527363224
.subs,0.06059124035865769
r.cha,0.060579755723750864
++,0.060574865999810615
s.le,0.06053149772689695
[],0.06024545154537262
tr.cha,0.0601538243782149
re,0.05998162845834058
lic ,0.059953896977531375
nt ,0.05990334163046015
blic ,0.059737680018846995
str.ch,0.05972984716645123
ms.l,0.05972794575036679
s.len,0.05969933279383276
s.l,0.05962331003041384
.sub,0.059608099804117035
ms.le,0.05957317586734201
 publi,0.0595617118754273
sm,0.058837709577405695
xt,0.05882141517360693
(int,0.05876948797746115
.su,0.058574030304424256
ublic ,0.05825932671255625
lic,0.057740103942871206
he,0.0576647010120217
s),0.05765746643161149
 pub,0.05727986103936151
pub,0.057200084908634756
lea,0.05677306780364192
publ,0.05662752280069362
r.char,0.056612260293425705
r) ,0.056322591731261404
sw,0.055965794705549424
rint,0.0555054103517692
(in,0.055351660703535005
tr.ch,0.054824590263248194
een,0.05475955083231019
tion,0.0542243921611032
ms),0.05419550421684148
 is,0.05376840542859533
prin,0.05374223754637028
print,0.05358310331186131
.subst,0.053580278940322135
nums),0.053011884328643705
n(,0.05281894431177604
str,0.0525016452817202
lean,0.052253407504965974
ums),0.0521732075085421
tio,0.05205445606391902
ubs,0.051542232933499924
ole,0.05136236268378547
subst,0.051231172820104934
ean,0.05121770362605724
pe,0.0510860601092923
olean ,0.05105664847520648
ean ,0.051015077330642325
 an,0.0505716332220544
olean,0.0505605041576242
bst,0.050387256812196274
nu,0.05037619634526908
stri,0.05031888014172668
boo,0.05029224153479871
tri,0.049930799418462665
boole,0.04964310296577622
subs,0.04959901355475804
oolea,0.04956346858880231
tring,0.049561375304704364
(int[,0.049045026950005094
oo,0.04872713797182478
rat(,0.04871536778972993
trin,0.04856015692640921
oole,0.048232843844262435
string,0.04819103920806621
ee,0.04814618869931711
lean ,0.0481194778098796
ubst,0.04806581302952387
oolean,0.04791494249972676
sp,0.04757909661396041
r.c,0.04740713480144674
boolea,0.04739457521718241
harat,0.047344593590507536
 boo,0.04726991262894693
arat(,0.04720895688441272
ool,0.047074466255243766
strin,0.04698340232959754
(stri,0.046926629579159315
ol,0.04662793349833848
 bool,0.04659798878492452
olea,0.04653156418112532
at(,0.04615416988856013
le,0.04610111128628806
sub,0.045881063751573414
tr.c,0.04549923970650222
charat,0.04549014940489399
harat(,0.04524134544483656
(int[],0.045196749418349835
bool,0.04515343477350031
str.c,0.044934513943449224
 boole,0.044922107430022395
.c,0.044180387044926744
(strin,0.04403497433953285
peed,0.04400920732716759
eed,0.0433783696187532
pee,0.043327686221801574
arat,0.043127110154997275
speed,0.041050548738076065
spee,0.04083017997451262
spe,0.03920384604552793
.print,0.03575388141947229
 syst,0.0354448385827162
.out.p,0.035354402068024926
.prin,0.03532350977134978
.pri,0.03488261984625352
tem.,0.03473219349057446
system,0.034621851028985365
 syste,0.03442677218396642
syst,0.03440994511932944
m.o,0.034326339033305
sys,0.03425755623354464
yste,0.03420586695571122
out.pr,0.03404180927852912
ut.,0.03403772984844594
t.pri,0.033800301131050293
tem.ou,0.033780465884382854
m.out.,0.03366757859535584
tem.o,0.03361075995393419
stem.,0.033600710940421157
t.pr,0.033564319631168765
em.out,0.03355093455564735
 sy,0.03354229042987038
syste,0.03353903377709362
ut.pr,0.0335228196341049
yst,0.03341998620171001
ut.pri,0.033376255090026695
m.out,0.03333266453032201
t.p,0.03324528736908418
out.,0.033153057359164934
ystem,0.033111832057128365
ystem.,0.033100671751424955
.out,0.03308496724859374
stem.o,0.033084837028626156
em.ou,0.03303162624770513
m.ou,0.03301401383491803
.p,0.03300241908375472
 sys,0.03299984698212695
em.,0.03293070713107691
ut.p,0.03276756482528339
t.prin,0.032744334703030516
.ou,0.03262236503284557
.o,0.03226775932912513
out.p,0.03190626889601418
.out.,0.03190625051382364
em.o,0.03159478380132076
stem,0.031349508924715774
.pr,0.030934245994152138
